family	order	class	phylum	kingdom	realm
Halicoviridae	Salinicovirales	Laserviricetes	Dividoviricota	Helvetiavirae	Singelaviria
Haloferuviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Halomagnusviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Halspiviridae					
Hantaviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Helgolandviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Hepaciviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Hepadnaviridae	Blubervirales	Revtraviricetes	Artverviricota	Pararnavirae	Riboviria
Hepeviridae	Hepelivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Herelleviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Hirszfeldviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Hodgkinviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Huangdiviridae					
Hydriviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Hypoviridae	Hypofuvirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Riboviria
Hytrosaviridae	Lefavirales	Naldaviricetes			
Iflaviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Infernusviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Efunaviria
Inseviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Iridoviridae	Pimascovirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Itzamnaviridae					
Jasonviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Jeanschmidtviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Kairosviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Kanorauviridae	Saturnivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Kidogoviridae	Roodoodoovirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
