family	order	class	phylum	kingdom	realm
Pituviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Plasmaviridae					
Plectroviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Efunaviria
Pleolipoviridae	Haloruvirales	Huolimaviricetes	Saleviricota	Trapavirae	Pleomoviria
Pneumoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Polycipiviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Polydnaviriformidae					
Polymycoviridae	Xenadelphovirales	Mycopleornaviricetes	Pisuviricota	Orthornavirae	Riboviria
Polyomaviridae	Sepolyvirales	Papovaviricetes	Cossaviricota	Shotokuvirae	Floreoviria
Pootjesviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Portogloboviridae					
Pospiviroidae					
Potyliviridae	Patatavirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Riboviria
Potyviridae	Patatavirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Riboviria
Poxviridae	Chitovirales	Pokkesviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Pseudototiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Pseudoviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Riboviria
Pungoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Pyrstoviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Qinviridae	Muvirales	Chunqiuviricetes	Negarnaviricota	Orthornavirae	Riboviria
Quadriviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Quambiviridae	Crytulvirales	Suforviricetes	Ambiviricota	Orthornavirae	Riboviria
Quasboviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Redondoviridae	Recrevirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Retroviridae	Ortervirales	Revtraviricetes	Artverviricota	Pararnavirae	Riboviria
Rhabdoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Rhizouliviridae	Ourlivirales	Miaviricetes	Lenarviricota	Orthornavirae	Riboviria
Rhodogtaviriformidae					
Roniviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Rountreeviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Rudiviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria
Ruviroviridae	Divpevirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Saffermanviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Saladoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Salasmaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Saparoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Sarkviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Sarthroviridae	Tombendovirales				Riboviria
Satyavativiridae	Adrikavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Schitoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Schizomimiviridae	Imitervirales	Megaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Seadebiviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Secoviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Sedoreoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Riboviria
Shortaselviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Simuloviridae	Halopanivirales	Laserviricetes	Dividoviricota	Helvetiavirae	Singelaviria
Sinhaliviridae	Nodamuvirales	Magsaviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Skuldviridae	Atroposvirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Smacoviridae	Cremevirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Soleiviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Solemoviridae	Sobelivirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Solinviviridae	Picornavirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Solspiviridae	Norzivirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria
Soropartitiviridae	Durnavirales	Duplopiviricetes	Pisuviricota	Orthornavirae	Riboviria
Speroviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Sphaerolipoviridae	Halopanivirales	Laserviricetes	Dividoviricota	Helvetiavirae	Singelaviria
Spiciviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Spinareoviridae	Reovirales	Resentoviricetes	Duplornaviricota	Orthornavirae	Riboviria
Spiraviridae					
Splipalmiviridae	Wolframvirales	Amabiliviricetes	Lenarviricota	Orthornavirae	Riboviria
Sputniviroviridae	Mividavirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Stackebrandtviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Stanwilliamsviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Steigviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Steitzviridae	Timlovirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria
Straboviridae	Pantevenvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Sukshmaviridae	Gokushovirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Sunviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Suolaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Tainaviridae	Secretvirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Tectiviridae	Kalamavirales	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Tenebraviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Thalassapleoviridae	Ageovirales	Caminiviricetes	Calorviricota	Trapavirae	Pleomoviria
Thaspiviridae					
Tinaiviridae	Paracrassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Tobaliviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Tobaniviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Togaviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Tolecusatellitidae					
Tombusviridae	Tolivirales	Tolucaviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Tomosaviridae	Tombendovirales				Riboviria
Tonesaviridae					Riboviria
Tosoviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Tospoviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Toyamaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Trautnerviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Trimbiviridae	Crytulvirales	Suforviricetes	Ambiviricota	Orthornavirae	Riboviria
Tripviridae	Metacrassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Tristromaviridae	Primavirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria
Tulasviridae	Elliovirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Turriviridae	Belfryvirales	Belvinaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Tymoviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Umezonoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Unambiviridae	Crytulvirales	Suforviricetes	Ambiviricota	Orthornavirae	Riboviria
Ungulaviridae	Ligamenvirales	Tokiviricetes	Taleaviricota	Zilligvirae	Adnaviria
Usuviridae	Methanobavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Vandenendeviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Verdandiviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Vertoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Vilmaviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Vilyaviridae	Cirlivirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Virgaviridae	Martellivirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Winoviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Wupedeviridae	Hareavirales	Bunyaviricetes	Negarnaviricota	Orthornavirae	Riboviria
Xigoviridae					
Xinmoviridae	Mononegavirales	Monjiviricetes	Negarnaviricota	Orthornavirae	Riboviria
Yadokariviridae	Yadokarivirales		Pisuviricota	Orthornavirae	Riboviria
Yadonushiviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Yamazakiviridae					
Yangangviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Yanlukaviridae	Juravirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Yaraviridae		Mriyaviricetes	Nucleocytoviricota	Bamfordvirae	Varidnaviria
Yueviridae	Goujianvirales	Yunchangviricetes	Negarnaviricota	Orthornavirae	Riboviria
Zierdtviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Zimmerviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Zobellviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
